Pathway,nGenesMapped,nGenesUsed,nSamples,ObservedP,empiricalP,Genes
502492_GO:0033273_response_to_vitamin,101,97,10000,8.39533028133394e-17,0.0040995900409959,MTHFR_ALPL_TSHB_SETDB1_BGLAP_PLA2G4A_FKBP1B_DNMT3A_EIF2AK2_IL1B_KYNU_OGG1_PPARG_RBP1_BCHE_CXCL10_ABCG2_PITX2_IL15_HMGCS1_ITGA2_SPARC_STC2_SLC34A1_ZNF354A_LTC4S_MOG_AGER_PPARD_PIM1_ARG1_SOD2_ELN_FZD1_EPO_LEP_NRF1_PTN_GATA4_STC1_SFRP1_PENK_AQP3_ALAD_TNC_GSN_RXRA_ITGB1_MGMT_PTH_CAT_FADS1_RELA_GSTP1_TPCN2_CCND1_FOLR2_TYR_APOC3_HMBS_FGF23_CD4_VDR_CYP27B1_MDM2_PAWR_ATP2B1_ASCL1_NOS1_PDX1_POSTN_F7_GAS6_ALDH1A2_CYP1A1_PEMT_CCL2_CCL5_RARA_BECN1_COL1A1_BRIP1_TYMS_EEF2_INSR_CDKN2D_ACP5_CCNE1_TGFB1_DNMT3B_ADA_CYP24A1_BMP7_ADAMTS1_HLCS_TIMP3_TSPO
754573_GO:1901617_organic_hydroxy_compound_biosynthetic_process,179,162,10000,3.8050578245013e-23,0.0040995900409959,PARK7_PLA2G5_PTAFR_SCP2_DHCR24_PRKAA2_ACADM_SLC44A3_CEPT1_HMGCS2_FDPS_APOA2_HSD17B7_ALDH9A1_PLA2G4A_CYB5R1_TGFB2_LBR_ARV1_GGPS1_LPIN1_INSIG2_NR4A2_ABCB11_CYP27A1_PER2_CYP8B1_ACOX2_CNBP_TRPC1_PCYT1A_HTT_CDS1_SNCA_SGMS2_FGF2_MSMO1_HAND2_SLC6A3_AMACR_PRKAA1_HMGCS1_HMGCR_HSD17B4_SLC44A4_IP6K3_CYP39A1_NUS1_CRHR2_NPC1L1_DDC_CYP51A1_CYP3A4_ACHE_CFTR_GPR37_LEP_AKR1B1_AKR1D1_PRKAG2_INSIG1_FDFT1_STAR_IMPAD1_CYP7A1_CYP7B1_PEX2_IMPA1_SQLE_CYP11B2_TYRP1_ACER2_SIGMAR1_PSAT1_SPTLC1_HSD17B3_BAAT_SLC44A1_DOLPP1_DBH_IDI1_AKR1C4_GATA3_CHAT_ASAH2B_IPMK_SAMD8_CH25H_GOT1_PDDC1_TH_CYB5R2_CYP2R1_LDHC_BBOX1_TM7SF2_CHKA_DHCR7_ACER3_TYR_APOA1_DPAGT1_SC5D_PMEL_CYP27B1_TPH2_CHPT1_PAH_DAO_MVK_DCT_GCH1_C14orf1_SPTLC2_CYP46A1_OCA2_CHRFAM7A_CHRNA7_FGF7_HDC_MYO5A_CYP11A1_CACNA1H_PGP_HSD3B7_LPCAT2_LCAT_PLCG2_MVD_MC1R_CTNS_ALOX15_ALOX12_PEMT_SHMT1_PNMT_ACLY_HSD17B1_PNPO_PHOSPHO1_SPHK1_LPIN2_IMPA2_ABHD3_ACAA2_ACER1_SLC44A2_SLC27A1_ISYNA1_APOE_SPHK2_SLC27A5_INSM1_ASIP_LPIN3_PLTP_PCK1_PDXK_LSS_DDT_CYB5R3_CHKB
512135_GO:0051241_negative_regulation_of_multicellular_organismal_process,1052,708,10000,1.50724812591151e-63,0.0041995800419958,TNFRSF4_HES5_TP73_RNF207_ERRFI1_NPPB_MUL1_WNT4_EPHB2_CNR2_LIN28A_TRIM62_ZC3H12A_KCNQ4_TIE1_FOXE3_PCSK9_TACSTD2_PDE4B_IL23R_PTGER3_PRKACB_GBP1_TGFBR3_GFI1_GNAI3_RBM15_RAP1A_PTPN22_NRAS_ATP1A1_GJA5_SEMA6C_NPR1_IL6R_GBA_SEMA4A_SLAMF1_HSPA6_LMX1A_XCL1_TNFSF4_RC3H1_TNR_PTGS2_CDC73_ASPM_GPR37L1_ATP2B4_CNTN2_RAB29_IL10_CD34_KCNK2_TGFB2_HLX_DUSP10_ITPKB_TRIM11_AGT_NLRP3_SOX11_ID2_ADAM17_ROCK2_TRIB2_MYCN_OSR1_FKBP1B_POMC_UCN_XDH_TMEM178A_PPM1B_SIX3_SOCS5_FSHR_RPS27A_EFEMP1_REL_MEIS1_BMP10_TIA1_DGUOK_SEMA4F_REG3A_EIF2AK3_SEMA4C_IL1RL1_ZC3H8_PAX8_GLI2_LIMS2_GPR39_NMI_ACVR1C_IFIH1_STK39_DLX2_NFE2L2_FRZB_CALCRL_COL5A2_MSTN_STAT1_BMPR2_CTLA4_ERBB4_FN1_IGFBP5_CTDSP1_INHA_EPHA4_SERPINE2_COL4A3_GPR55_NPPC_INPP5D_HDAC4_PDCD1_CNTN4_OXTR_GHRL_SLC6A1_PPARG_WNT7A_RARB_TGFBR2_CX3CR1_CTNNB1_LIMD1_LTF_PTPN23_UCN2_TUSC2_PRKCD_WNT5A_ABHD6_FEZF2_FOXP1_ROBO2_ROBO1_PROS1_C3orf17_TIGIT_GSK3B_CD86_SEMA5B_MGLL_GATA2_IFT122_RYK_IL20RB_CLDN18_PFN2_GPR171_GPR149_IL12A_BCHE_PDCD10_GHSR_NLGN1_SOX2_CHRD_ADIPOQ_BCL6_TP63_PYDC2_GP5_APOD_GAK_FGFR3_ADRA2C_DRD5_NKX3-2_CD38_SLIT2_RBPJ_PHOX2B_PDGFRA_REST_EPHA5_STAP1_STATH_RUFY3_PF4_CXCL10_CXCL13_PAQR3_PLAC8_NKX6-1_HERC5_HPGDS_EIF4E_UBE2D3_LEF1_PDE5A_ANXA5_FGF2_INPP4B_SFRP2_FGG_GUCY1A3_RAPGEF2_NPY5R_HAND2_WWC2_F11_SEMA5A_C1QTNF3_PTGER4_ISL1_PLK2_PDE4D_ERBB2IP_PIK3R1_CARTPT_HMGCR_CRHBP_THBS4_MEF2C_ARRDC3_NR2F1_MCC_ATG12_SEMA6A_IL4_FSTL4_CDKL3_SPOCK1_CTNNA1_ECSCR_NDFIP1_DPYSL3_SPINK5_ADRB2_CD74_GLRA1_HAVCR2_IL12B_WWC1_TLX3_STC2_MSX2_DRD1_F12_EDN1_CD83_MYLIP_ID4_KIAA0319_BTN2A2_HIST1H4I_HIST1H4L_TRIM27_HLA-G_CSNK2B_HLA-DRB1_SYNGAP1_PPARD_PI16_MDGA1_FOXP4_SRF_VEGFA_CD2AP_IL17F_MLIP_BMP5_HTR1B_TBX18_CGA_EPHA7_GRIK2_ATG5_NR2E1_FIG4_HS3ST5_PLN_GJA1_HEY2_ENPP1_TNFAIP3_KATNA1_EZR_PLG_THBS2_DLL1_PDGFA_LFNG_RNF216_GRID2IP_PHF14_TWIST1_IL6_GPNMB_NPVF_HOXA9_TAX1BP1_CRHR2_NPSR1_GLI3_NCF1_SEMA3C_HGF_SEMA3A_SEMA3D_SRI_CDK6_CALCR_TAC1_SMURF1_SERPINE1_LRRC17_PIK3CG_IFRD1_MET_PTPRZ1_LEP_SMO_PTN_WEE2_EZH2_CDK5_SHH_ANGPT2_PCM1_STC1_GNRH1_PTK2B_FZD3_NRG1_FGFR1_IDO1_SFRP1_DKK4_HOOK3_SNAI2_OPRK1_SOX17_LYN_CRH_SULF1_STMN2_TMEM64_STK3_GRHL2_ZFPM2_RSPO2_NOV_ZHX2_TRIB1_MYC_ASAP1_PTK2_HSF1_KANK1_PDCD1LG2_IL33_NFIB_SLC24A2_IFNA2_CDKN2A_TEK_DDX58_ANXA2P2_NPR2_SHB_TJP2_ANXA1_RORB_HNRNPK_SEMA4D_ASPN_PTCH1_TGFBR1_KLF4_LPAR1_ORM1_TLR4_CDK5RAP2_DAB2IP_NR5A1_STXBP1_OLFM1_NRARP_IL15RA_GATA3_UCMA_VIM_ANKRD26_NRP1_GDF10_DKK1_PBLD_TACR2_NODAL_C10orf54_PLAU_KCNMA1_SFTPD_NRG3_MMRN2_PTEN_HHEX_RBP4_SLIT1_SFRP5_LBX1_SUFU_ADRA2A_TCF7L2_ADRB1_VAX1_GLRX3_NKX6-2_FUOM_CHID1_ASCL2_APBB1_CTR9_CALCA_TPH1_BDNF_PAX6_WT1_LMO2_CRY2_NR1H3_SERPING1_CNTF_PRPF19_SDHAF2_SCGB1A1_MEN1_KAT5_ACTN3_GSTP1_GAL_FGF3_SHANK2_P2RY2_ARRB1_LRRC32_MTNR1B_MTMR2_TRPC6_DIXDC1_DRD2_ZBTB16_APOA1_THY1_SORL1_UBASH3B_WNK1_TULP3_FGF23_LAG3_YBX3_CDKN1B_STRAP_SPX_PTHLH_LRRK2_PRICKLE1_HDAC7_ADCY6_ACVRL1_KRT1_NPFF_NCKAP1L_GDF11_IL23A_DDIT3_AVPR1A_TBK1_IRAK3_IFNG_TSPAN8_DCN_NR1H4_ASCL1_CRY1_CORO1C_ATP2A2_ATXN2_PTPN11_DTX1_TBX5_NOS1_CIT_RNF10_P2RX4_FAM101A_UBC_ULK1_RNF6_FLT3_HMGB1_N4BP2L2_STARD13_SPG20_RGCC_CPB2_HTR2A_LECT1_PIBF1_IRG1_EDNRB_COL4A2_CUL4A_GAS6_NDRG2_NFATC4_FOXG1_NFKBIA_NKX2-1_FOXA1_ARF6_SAV1_BMP4_SIX4_HIF1A_ARG2_SYNJ2BP_C14orf169_TGFB3_VASH1_GPR68_CHGA_DICER1_EVL_TRAF3_BAG5_CHRFAM7A_KLF13_CHRNA7_GREM1_MEIS2_EIF2AK4_DLL4_CAPN3_B2M_SEMA6D_LEO1_ANXA2_MAP2K5_CSK_ISL2_LINGO1_ADAMTS7_NTRK3_CIB1_FURIN_RGMA_NR2F2_VIMP_SOX8_NLRC3_VASN_ABAT_CIITA_C16orf45_IL4R_ATP2A1_TBX6_PYDC1_SALL1_IRX3_CX3CL1_NOL3_NUTF2_CDH3_MARVELD3_ADAMTS18_FOXC2_CYBA_MC1R_FAM101B_ABR_SERPINF1_TRPV3_C1QBP_TP53_ARHGEF15_NTN1_MYOCD_PMP22_UBB_RAI1_ULK2_LGALS9_VTN_CRYBA1_SLC6A4_OMG_CDK5R1_CCL2_CCL3_HNF1B_ERBB2_RARA_HDAC5_GFAP_WNT3_HOXB8_NGFR_NME2_AKAP1_EPX_TBX2_AXIN2_APOH_SOX9_CYGB_C1QTNF1_AATK_ARHGDIA_UTS2R_THOC1_ADCYAP1_PTPRM_TWSG1_CIDEA_LDLRAD4_ROCK1_GATA6_RNF125_SMAD7_MBD1_DCC_BCL2_SERPINB2_MBP_CTDP1_AMH_CACTIN_SEMA6B_PIN1_CARM1_ACP5_CALR_PRKACA_KLF2_JAK3_UBA52_ZNF675_ZNF536_MAG_NFKBID_DLL3_SPTBN4_TGFB1_GSK3A_PLAUR_RELB_PGLYRP1_DACT3_C5AR2_ATF5_KLK8_SSC5D_ANGPT4_AVP_PRNP_BMP2_JAG1_OVOL2_NKX2-2_THBD_CST3_ID1_CBFA2T2_ITCH_GDF5_LBP_MAFB_SRSF6_STK4_SNAI1_ADNP_BMP7_GNAS_BHLHE23_ZBTB46_CXADR_APP_GRIK1_SOD1_OLIG2_RUNX1_TTC3_TFF2_S100B_RTN4R_BCR_THOC5_LIF_YWHAH_FBXO7_HMOX1_TMPRSS6_PLA2G6_PDGFB_TOB2_TSPO_FBLN1_MAPK11
500351_GO:0031061_negative_regulation_of_histone_methylation,16,16,10000,7.94708430230357e-08,0.0042995700429957,KDM1A_KDM4A_MTF2_KDM3A_H2AFY_JARID2_PHF1_PAX5_KDM4E_SUPT6H_BRCA1_KDM4B_DNMT1_PIH1D1_DNMT3B_SMARCB1
513905_GO:0060349_bone_morphogenesis,88,86,10000,7.66308106811376e-16,0.0042995700429957,SKI_DHRS3_HSPG2_MATN1_THBS3_MEF2D_DDR2_PAPPA2_CYP26B1_INSIG2_SP5_HOXD11_NAB1_BMPR2_NPPC_RARB_TGFBR2_LTF_SHOX2_IFT80_OSTN_FGFR3_MSX1_EVC_BMPR1B_SFRP2_GHR_MEF2C_CDX1_FGF18_MSX2_BMP6_TFAP2A_RAB23_COL9A1_RIPPLY2_COL10A1_PEX7_CITED2_T_TWIST1_HOXA11_GLI3_DLX5_INSIG1_CSGALNACT1_STC1_IMPAD1_MMP16_OSR2_HAS2_FREM1_BNC2_TEK_COL27A1_COL13A1_FGFR2_ACTN3_LRP5_FGF4_INPPL1_SERPINH1_MMP13_SIK3_PTHLH_COL2A1_RARG_NAB2_MMP14_BMP4_TGFB3_THBS1_CHSY1_GLG1_RARA_PHOSPHO1_COL1A1_AXIN2_SOX9_CARM1_ACP5_COMP_TGFB1_MEGF8_PAX1_GNAS
198759_WP289_Myometrial_Relaxation_and_Contraction_Pathways,155,137,10000,1.91706694456289e-20,0.0043995600439956,PRKCZ_SFN_GUCA2A_JUN_PDE4B_GNG12_GNG5_RGS5_RGS16_RGS2_ATF3_ACTA1_GNG4_RYR2_RGS7_YWHAQ_ADCY3_SLC8A1_PRKCE_CALM2_IL1B_ATF2_CREB1_IGFBP5_ACKR3_RAMP1_ITPR1_OXTR_PLCD1_PRKAR2A_PRKCD_ADCY5_GNB4_GRK4_CORIN_NFKB1_CAMK2D_GUCY1A3_RXFP1_ADCY2_PDE4D_CAMK2A_GRK6_ATF6B_ITPR3_GJA1_PKIB_RGS17_PRKAR1B_ACTB_IL6_CAMK2B_IGFBP3_CRCP_YWHAG_GNG11_GNB2_PRKAR2B_CALD1_NOS3_RGS20_CRH_PKIA_YWHAZ_ADCY8_RLN1_CREB3_GNAQ_LPAR1_RGS3_PRKCQ_CAMK2G_ACTA2_GSTO1_RGS10_ADM_CALCA_DGKZ_GNG3_PLCB3_ARRB1_GNB3_ITPR2_CACNB3_ATF1_SP1_GPR182_ATP2A2_MYL2_NOS1_RXFP2_ADCY4_PRKD1_GNG2_PRKCH_RGS6_FOS_CALM1_RYR3_ACTC1_GABPB1_GNB5_RGS11_GNG13_ADCY9_PRKCB_ADCY7_PLCG2_YWHAE_ATP2A3_ARRB2_IGFBP4_RAMP2_CRHR1_MYL4_RGS9_PRKCA_PRKAR1A_ACTG1_GNG7_CNN1_PRKACA_RYR1_GNG8_ATF5_PRKCG_OXT_MYLK2_PLCG1_YWHAB_GNAS_RGS19_GABPA_ETS2_YWHAH_MAFF_ATF4
491960_GO:0040007_growth,443,373,10000,4.32419702656789e-39,0.0043995600439956,ATAD3A_PRKCZ_ICMT_MTOR_NPPA_PAX7_CDC42_CLIC4_SEPN1_WDTC1_MATN1_STK40_RRAGC_BMP8B_DMBX1_FOXD2_FOXD3_LEPR_TGFBR3_S1PR1_PRMT6_CSF1_NOTCH2_BCL9_SETDB1_PGLYRP4_THBS3_LAMTOR2_VANGL2_DDR2_TNN_ASPM_FMOD_ETNK2_FLVCR1_TGFB2_LEFTY2_WNT3A_ACTA1_AGT_TBCE_KIF26B_GDF7_SOS1_PKDCC_SOCS5_FSHR_VPS54_BMP10_EMX1_ST6GAL2_FOXD4L1_EN1_GLI2_ZEB2_GPD2_SLC4A10_CHRNA1_HOXD11_TTN_ITGAV_MSTN_CFLAR_NOP58_RAPH1_NRP2_ERBB4_IGFBP5_IHH_NPPC_GIGYF2_DGKD_CAV3_WNT7A_RFTN1_RARB_TGFBR2_ACVR2B_WDR48_SEMA3F_TMEM110-MUSTN1_WNT5A_ROBO1_ALCAM_GAP43_SEMA5B_HEG1_PLXNA1_SEC61A1_FOXL2_C3orf58_WWTR1_GPR149_TBL1XR1_SOX2_OSTN_APOD_FGFR3_ADD1_EVC_PSAPL1_SLIT2_TEC_EREG_BMP3_BMPR1B_CAMK2D_NDNF_SPRY1_SMAD1_POU4F2_SFRP2_NEK1_HELT_SORBS2_NDUFS6_SEMA5A_PRLR_IL7R_NIPBL_SEPP1_FGF10_PDE4D_ERBB2IP_CCNB1_MAP1B_FOXD1_EFNA5_SLC12A2_GDF9_FGF1_POU4F3_ADRA1B_SLIT3_NKX2-5_MSX2_BMP6_EDN1_EHMT2_RXRB_MAPK14_TAF8_SRF_VEGFA_BMP5_EYS_COL9A1_CGA_EPHA7_FOXO3_ROS1_GJA1_ESR1_DLL1_INTS1_BRAT1_IL6_HOXA11_CRHR2_GLI3_CCM2_IGFBP1_COBL_SBDS_EIF4H_MAGI2_SEMA3A_IFRD1_FOXP2_LEP_SMO_MTPN_EZH2_ATP6V0E2_CDK5_XRCC2_SHH_NCAPG2_GATA4_BIN3_STC1_ADRA1A_GINS4_PLAG1_RDH10_NBN_CPQ_GRHL2_RSPO2_NOV_LY6E_FOXD4_CER1_BNC2_FOXD4L5_FOXD4L3_APBA1_ANXA1_RMI1_GAS1_OGN_NINJ1_FOXE1_TAL2_COL27A1_TNC_GSN_RC3H2_LHX2_SLC25A25_ABL1_CEL_RXRA_NOTCH1_PRKCQ_GATA3_NRP1_GDF2_CHAT_SGMS1_PCDH15_ARID5B_PSAP_VCL_ZMIZ1_BMPR1A_PTEN_TNKS2_HHEX_SLIT1_TCF7L2_FGFR2_DMBT1_CDKN1C_CTR9_MYOD1_BDNF_SLC1A2_LRP4_CNTF_PRPF19_SLC3A2_FLRT1_KDM2A_DHCR7_LAMTOR1_TPBGL_WNT11_TENM4_YAP1_MMP13_CADM1_SIK3_NINJ2_LRP6_EMP1_PTHLH_KMT2D_CELA1_TARBP2_GDF11_NACA_MYF6_TMTC3_EPYC_IGF1_CHST11_PTPN11_TMED2_ULK1_BRCA2_DCLK1_POSTN_SPRY2_SLITRK1_SLITRK6_BMP4_ZFP36L1_ENTPD5_ESRRB_ALKBH1_TTC8_UNC79_DICER1_CYFIP1_NDN_UBE3A_APBA2_EIF2AK4_RTF1_DUOX2_FGF7_CYP19A1_LIPC_CCNB2_SMAD3_PKM_SEMA7A_MESP1_IQGAP1_NUBP1_PALB2_RBBP6_NUPR1_SALL1_NDRG4_NRN1L_FOXC2_ANKRD11_ENO3_TP53_NDEL1_MYOCD_ULK2_CCL11_ZNF830_LHX1_HNF1B_MED1_RARA_KAT2A_G6PC_MAPT_ITGB3_SP2_TBX2_DDX5_PRKAR1A_SOX9_LLGL2_RPTOR_TYMS_IMPACT_SMAD2_MEX3C_BCL2_AMH_SIRT6_SAFB_CACNA1A_PGLYRP2_KLF2_COMP_CCNE1_RASGRP4_PAK4_TGFB1_PGLYRP1_EMP3_ATF5_KLK6_TRIM28_BMP2_PAK7_FLRT3_XRN2_GINS1_CCM2L_CPNE1_SLC12A5_NCOA3_SALL4_TFAP2C_BMP7_GNAS_APP_TIAM1_PRMT2_XBP1_LARGE_SOX10_PDGFB_WNT7B
501611_GO:0032376_positive_regulation_of_cholesterol_transport,16,16,10000,7.57610317556767e-08,0.0043995600439956,SCP2_ABCA12_ADIPOQ_ABCB4_PON1_PTCH1_ABCA1_SIRT1_NR1H3_LRP1_NFKBIA_LIPG_APOE_NR1H2_PLTP_ABCG1
513906_GO:0060350_endochondral_bone_morphogenesis,55,54,10000,8.22564614983442e-13,0.0043995600439956,HSPG2_MATN1_THBS3_MEF2D_DDR2_HOXD11_NAB1_BMPR2_NPPC_RARB_TGFBR2_SHOX2_OSTN_FGFR3_EVC_BMPR1B_GHR_MEF2C_FGF18_MSX2_BMP6_COL9A1_COL10A1_PEX7_HOXA11_DLX5_CSGALNACT1_STC1_IMPAD1_MMP16_CER1_BNC2_TEK_COL27A1_COL13A1_INPPL1_SERPINH1_MMP13_SIK3_PTHLH_COL2A1_RARG_NAB2_MMP14_BMP4_THBS1_RARA_PHOSPHO1_COL1A1_AXIN2_SOX9_CARM1_COMP_GNAS
782511_GO:0038179_neurotrophin_signaling_pathway,378,312,10000,2.869216871689e-34,0.0043995600439956,ARHGEF16_PLEKHG5_PIK3CD_MTOR_CASP9_RPS6KA1_HDAC1_AGO3_ITGB3BP_JAK1_PRKACB_VAV3_PSMA5_RAP1A_MOV10_NRAS_NGF_APH1A_THEM4_SHC1_LAMTOR2_ARHGEF11_SPTA1_NCSTN_RASAL2_MAPKAPK2_PSEN2_OBSCN_ACTN2_KIDINS220_ADAM17_ADCY3_RASGRP3_SOS1_PRKCE_CALM2_RPS27A_BCL2L11_RALB_ARHGEF4_PSMD14_PDE1A_CD28_CREB1_ERBB4_CUL3_IRS1_PSMD1_NGEF_IL5RA_ITPR1_RAF1_MYD88_PRKAR2A_RHOA_MAPKAPK3_DUSP7_PRKCD_IL17RD_PSMD6_TRAT1_GSK3B_CD86_ADCY5_KALRN_PIK3CB_RASA2_PRKCI_ECT2_PIK3CA_PSMD2_FGFR3_KLB_KIT_BTC_PAQR3_FGF5_LAMTOR3_NFKB1_EGF_CAMK2D_FGF2_GAB1_RAPGEF2_CASP3_ADCY2_TRIO_RICTOR_FGF10_PIK3R1_RASGRF2_RASA1_MEF2C_CAMK4_IL5_HBEGF_HDAC3_FGF1_CAMK2A_FGF18_FGFR4_SQSTM1_PSMB9_ITPR3_MAPK13_FGD2_FRS3_PPP2R5D_FOXO3_SMPD2_FYN_HDAC2_TIAM2_RPS6KA2_PSMB1_PRKAR1B_RAC1_ADCYAP1R1_PDE1C_RALA_PSMA2_CAMK2B_ADCY1_EGFR_MAGI2_AKAP9_RASA4_PSMC2_PRKAR2B_BRAF_CASP2_FGF20_FGF17_NEFL_DUSP4_NRG1_FGFR1_IKBKB_RIPK2_ANGPT1_ADCY8_PTK2_JAK2_SH3GL2_TEK_CLTA_PRKACG_PCSK5_NTRK2_SHC3_FGD3_PSMD5_DAB2IP_PSMB7_MAPKAP1_SPTAN1_RAPGEF1_RALGDS_VAV2_GRIN1_NET1_IL2RA_RASGEF1A_MAPK8_DDIT4_CAMK2G_PTEN_ZFYVE27_CHUK_FGF8_DUSP5_FGFR2_AP2A2_PSMA1_TRAF6_PSMC3_BAD_RELA_SPTBN2_RPS6KB2_FGF3_ARHGEF17_NCAM1_ARHGEF12_FGF6_CDKN1B_GRIN2B_KRAS_ITPR2_FGD4_ADCY6_ATF1_NR4A1_PDE1B_ERBB3_MDM2_FRS2_KITLG_DUSP6_PRDM4_BRAP_PTPN11_RASAL1_PEBP1_PSMD9_UBC_FGF9_KL_FOXO1_KBTBD7_IRS2_ARHGEF7_MCF2L_RASA3_PSMB11_ADCY4_NFKBIA_SOS2_PSMC6_PSMA3_SPTB_RPS6KA5_MARK3_AKT1_NDN_RASGRP1_SPTBN5_FGF7_APH1B_MAP2K1_MAP2K5_NRG4_LINGO1_RASGRF1_AKAP13_NTRK3_FURIN_MEF2A_PCSK6_PDPK1_ADCY9_GRIN2A_TNRC6A_LAT_CORO1A_ADCY7_PSMB10_PHLPP2_PSMD7_BCAR1_CRK_PSMB6_DLG4_UBB_MAPK7_KSR1_OMG_PSMD11_AP2B1_AATF_PSMB3_PSMD3_HAP1_PSME3_DUSP3_NGFR_PSMC5_PRKCA_PSMD12_PRKAR1A_GRB2_TNRC6C_ARHGDIA_ADCYAP1_PSMA8_RIT2_PHLPP1_MAP2K2_VAV1_ARHGEF18_WDR83_PRKACA_RASAL3_UBA52_PSENEN_RASGRP4_PLEKHG2_SPTBN4_GSK3A_AP2S1_GRIN2D_AKT1S1_PRKCG_TRIB3_PSMF1_PTPRA_SRC_PLCG1_YWHAB_PSMA7_TIAM1_ITSN1_RTN4R_CRKL_MAPK1_ADORA2A_IL2RB_PDGFB_TNRC6B_RBX1_PRR5_MAPK11
982479_GO:1902911_protein_kinase_complex,90,82,10000,3.82751619435128e-15,0.0043995600439956,CCNL2_PRKAA2_PRKACB_PRKAB2_NUAK2_ERCC3_CCNT2_ACVR1_HSPD1_PRKAG3_IRS1_CAB39_TBC1D5_NEK10_TGFBR2_PRKAR2A_CCNL1_MAP3K13_DAB2_PRKAA1_GTF2H2C_GTF2H2_CCNH_TAF7_TRIM40_GTF2H4_CDKN1A_CCND3_MAP3K7_CCNC_MAP3K5_PRKAR1B_CDK13_PHKG1_CDK14_CDK6_PRKAR2B_PRKAG2_IKBKB_RB1CC1_PUF60_TGFBR1_ENG_CCNY_SORBS1_MMS19_CHUK_PRDX3_BCCIP_GTF2H1_ATG13_CCND1_UVRAG_KDM5A_ERC1_CCND2_PRKAG1_ACVR1B_HOXC10_CDK2_CDK4_NUAK1_PRKAB1_GTF2H3_ULK1_GTF2F2_RB1_ERCC5_MNAT1_SNW1_CCNK_DNAJA3_PYDC1_PHKB_CDK12_ERN1_PRKAR1A_INSR_PRKACA_BRD4_CCNE1_ERCC2
488842_GO:0003044_regulation_of_systemic_arterial_blood_pressure_mediated_by_a_chemical_signal,42,39,10000,3.7383101596026e-11,0.0044995500449955,SLC2A5_ECE1_EDN2_REN_AVPR1B_AGT_TACR1_OXTR_DRD3_CPA3_MME_DRD5_CORIN_ENPEP_PDE4D_ADRB2_ADRA1B_EDN1_SOD2_RPS6KA2_NOS3_ADRA1A_ADRB3_CYP11B2_PCSK5_NDST2_ADRB1_AVPR1A_CTSG_NKX2-1_TPM1_ANPEP_HSD11B2_CYBA_SERPINF2_RASL10B_ACE_ADRA1D_EDN3
